salmon.id,Tag,FieldLength_mm,LabLength_mm,fish_mass,FultonCondition,PBTHatcheryAssignment,Year,otolith.width.mic,oe_ow,oe.julian.day,cap.julian.day,oceanres.d,ocean.growth,Basin,Station.Code,Sample.Date,Otolith_Category
42676,YES,156,155,44.7,1.177426308,Carson,2019,2420.07,2335.95846,123,143,20,4.205577,Mid,052319MC11,5/23/2019,4
44916,YES,171,163,61.3,1.22594825,Carson,2021,2506.1,2354.853,124,144,20.033,7.55,Mid,052421MC13,5/24/2021,4
34985,YES,150,143,32.4,0.960000045,Sawtooth,2015,2288.74,2134.987854,124,144,20,7.6876073,Snake,052415MC2,5/24/2015,4
45482,YES,180.64782,176,66.8,1.133126268,Little White Salmon,2021,2607,2462.052,124,145,20.707,7,Mid,052521MC23,5/25/2021,4
45646,YES,173,165,43.6,0.842069941,Little White Salmon,2021,2653.6,2557.255,126,146,20.499,4.7,Mid,052621MC27,5/26/2021,4
41150,YES,151,145,35.4,1.028187782,Sawtooth,2018,2350.94,2277.538662,126,146,20,3.6700669,Snake,052618MC22,5/26/2018,4
36809,YES,135,129,22.5,0.914494742,Dworshak,2016,2245.46,2155.052903,126,146,20,4.52035485,Snake,052516MC9,5/25/2016,4
41193,YES,158,154,37.2,0.943130279,Rapid River,2018,2535.27,2433.150617,126,146,20,5.10596915,Snake,052618MC23,5/26/2018,4
41290,YES,171,165,50.7,1.013957226,Pahsimeroi,2018,2568.24,2488.455902,127,147,20,3.9892049,Snake,052718MC27,5/27/2018,4
41436,YES,164,160,53.1,1.203823909,Sawtooth,2018,2622.39,2508.729207,127,147,20,5.68303965,Snake,052718MC32,5/27/2018,4
41369,YES,162,157,47.4,1.114893317,Dworshak,2018,2425.41,2291.409448,127,147,20,6.7000276,Snake,052718MC30,5/27/2018,4
37371,YES,170,167,52.3,1.064522679,McCall,2016,2352.36,2214.995912,128,148,20,6.8682044,Snake,052716MC29,5/27/2016,4
37475,YES,161,154,41.4,0.992025256,Pahsimeroi,2016,2433.63,2311.9485,129,149,20,6.084075,Snake,052816MC34,5/28/2016,4
38168,YES,166,160,47.4,1.036225061,Rapid River,2016,2568.75,2534.010336,131,151,20,1.7369832,Snake,053016MC44,5/30/2016,4
38166,YES,159,155,40.6,1.010030863,Pahsimeroi,2016,2532.92,2435.462138,131,151,20,4.8728931,Snake,053016MC44,5/30/2016,4
45447,YES,167.31086,163,53.3,1.138032876,Walla Walla,2021,2670.1,2553.833,124,145,20.726,5.61,Mid,052521MC21,5/25/2021,4
