unique_origin,GroupDescription,Run,Basin,MigrYr,RearCode,RaceCode,SAR_Reach_originalSAR,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI,SRV_LGD_BON_CSS,SRV_MCN_BON_annualNOAA,inriver_survival_combined,dams,oceandist_km,TIR_Transtpinriverratio,prop_transport,corSAR_transport,corSARwJ_transport
Sawtooth,Sawtooth Hatchery Spring Chinook,Spring,Snake,2021,H,Spr,Lower Granite Dam to Bonneville Dam,0.430,0.320,0.530,0.620,0.490,0.740,0.610,1.000,0.610,8.000,1442.000,3.790,0.059,0.305,0.440
Rapid River,Rapid River Hatchery Spring Chinook,Spring,Snake,2021,H,Spr,Lower Granite Dam to Bonneville Dam,0.390,0.320,0.460,0.490,0.410,0.560,0.560,1.000,0.560,8.000,978.000,4.270,0.059,0.261,0.327
Pahsimeroi,Pahsimeroi Hatchery Summer Chinook,Summer,Snake,2021,H,Sum,Lower Granite Dam to Bonneville Dam,0.140,0.050,0.260,0.220,0.110,0.360,0.780,1.000,0.780,8.000,1325.000,0.000,0.000,0.109,0.172
Leavenworth,Leavenworth Hatchery Spring Chinook,Spring,Upper Columbia,2015,H,Spr,McNary Dam to Bonneville Dam,0.140,0.070,0.210,0.200,0.120,0.290,1.000,0.870,0.870,8.000,798.000,0.000,0.000,0.122,0.174
Winthrop,Winthrop Hatchery Spring Chinook,Spring,Upper Columbia,2015,H,Spr,McNary Dam to Bonneville Dam,0.620,0.420,0.800,0.750,0.530,0.950,1.000,0.870,0.870,9.000,798.000,0.000,0.000,0.539,0.653
Leavenworth,Leavenworth Hatchery Spring Chinook,Spring,Upper Columbia,2016,H,Spr,McNary Dam to Bonneville Dam,0.190,0.110,0.270,0.220,0.140,0.300,1.000,0.807,0.807,8.000,798.000,0.000,0.000,0.153,0.178
Winthrop,Winthrop Hatchery Spring Chinook,Spring,Upper Columbia,2016,H,Spr,McNary Dam to Bonneville Dam,0.560,0.440,0.690,0.630,0.500,0.770,1.000,0.807,0.807,9.000,843.000,0.000,0.000,0.452,0.508
Winthrop,Winthrop Hatchery Spring Chinook,Spring,Upper Columbia,2017,H,Spr,McNary Dam to Bonneville Dam,0.700,0.550,0.850,0.800,0.650,0.970,1.000,0.944,0.944,9.000,843.000,0.000,0.000,0.661,0.755
Leavenworth,Leavenworth Hatchery Spring Chinook,Spring,Upper Columbia,2018,H,Spr,McNary Dam to Bonneville Dam,0.260,0.190,0.340,0.280,0.210,0.360,1.000,0.749,0.749,8.000,798.000,0.000,0.000,0.195,0.210
Winthrop,Winthrop Hatchery Spring Chinook,Spring,Upper Columbia,2018,H,Spr,McNary Dam to Bonneville Dam,0.230,0.140,0.330,0.350,0.230,0.490,1.000,0.749,0.749,9.000,843.000,0.000,0.000,0.172,0.262
Leavenworth,Leavenworth Hatchery Spring Chinook,Spring,Upper Columbia,2019,H,Spr,McNary Dam to Bonneville Dam,0.590,0.470,0.730,0.600,0.480,0.750,1.000,0.785,0.785,8.000,798.000,0.000,0.000,0.463,0.471
Winthrop,Winthrop Hatchery Spring Chinook,Spring,Upper Columbia,2019,H,Spr,McNary Dam to Bonneville Dam,0.130,0.070,0.200,0.150,0.080,0.230,1.000,0.785,0.785,9.000,843.000,0.000,0.000,0.102,0.118
Leavenworth,Leavenworth Hatchery Spring Chinook,Spring,Upper Columbia,2021,H,Spr,McNary Dam to Bonneville Dam,1.170,0.900,1.430,1.420,1.130,1.730,1.000,0.616,0.616,8.000,798.000,0.000,0.000,0.721,0.875
Winthrop,Winthrop Hatchery Spring Chinook,Spring,Upper Columbia,2021,H,Spr,McNary Dam to Bonneville Dam,0.790,0.580,0.980,1.180,0.890,1.450,1.000,0.616,0.616,9.000,843.000,0.000,0.000,0.487,0.727
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,,
